Serial No,movie_id,movie_name,year,genre,overview,director,cast,poster_url,rating,votes
0,tt15354916,Jawan,2023,"Action, Thriller",A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",https://m.media-amazon.com/images/M/MV5BOWI5NmU3NTUtOTZiMS00YzA1LThlYTktNDJjYTU5NDFiMDUxXkEyXkFqcGdeQXVyMTUzNjEwNjM2._V1_.jpg,7,94984
1,tt15748830,Jaane Jaan,2023,"Crime, Drama, Mystery",A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.,Sujoy Ghosh,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva",https://m.media-amazon.com/images/M/MV5BMTNmMmY5NzAtNTdjOC00Y2JiLThjZDQtNDEzODQ5MWQ4NWFhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,7,13849
2,tt11663228,Jailer,2023,"Action, Comedy, Crime","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?",Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff",https://m.media-amazon.com/images/M/MV5BNzFkNmZkMTctYjRhMS00ODZiLWFlNjQtZmZmN2IzMDJlNmVkXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,7.1,34871
3,tt14993250,Rocky Aur Rani Kii Prem Kahaani,2023,"Comedy, Drama, Family","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.",Karan Johar,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi",https://m.media-amazon.com/images/M/MV5BNzAyOWQ4MjUtMGNkMi00ODBkLWEyZDgtY2Q0YjJhYjg3MzNlXkEyXkFqcGdeQXVyMTUxMTM3OTc1._V1_.jpg,6.5,42764
4,tt15732324,OMG 2,2023,"Comedy, Drama",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,Amit Rai,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra",https://m.media-amazon.com/images/M/MV5BNmQ3MThkOWEtNTA0NC00YzI2LWIxZjEtZjdlZTVmNzQ2ZGViXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,7.6,41322
5,tt18266472,Sukhee,2023,Drama,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.",Sonal Joshi,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila",https://m.media-amazon.com/images/M/MV5BZTdmODZjNDUtYmM2MS00OGQ5LTllZDAtNTlmMWU5ZjRlZGFiXkEyXkFqcGc@._V1_.jpg,5.9,8234
6,tt18561736,The Great Indian Family,2023,Family,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.",Vijay Krishna Acharya,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit",https://m.media-amazon.com/images/M/MV5BMjY5Mzg4MTMtNjFkOS00NTA3LTk3NTQtNzdmNzlkOTJjZDZkXkEyXkFqcGc@._V1_.jpg,5.6,6969
7,tt3691740,The BFG,2016,"Adventure, Family, Fantasy","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement",https://m.media-amazon.com/images/M/MV5BNjAzOTUzNTY3Ml5BMl5BanBnXkFtZTgwMjYwNzE5ODE@._V1_.jpg,6.3,93345
8,tt12844910,Pathaan,2023,"Action, Adventure, Thriller","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia",https://m.media-amazon.com/images/M/MV5BYTgzNjBjYTctOGJiZi00MTliLTk0YzYtNDJmYTQyMDdkMjQ5XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_.jpg,5.8,156522
9,tt15464390,Mastaney,2023,"Action, Drama, History","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.",Sharan Art,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol",https://m.media-amazon.com/images/M/MV5BMjJjZmU2ZjEtYTQxZS00M2M1LTg5YTUtOTMyODFhZmZlYzc1XkEyXkFqcGc@._V1_.jpg,7.4,5465
10,tt1187043,3 Idiots,2009,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,8.4,435162
11,tt14914988,Satyaprem Ki Katha,2023,"Comedy, Drama, Musical","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.",Sameer Vidwans,"Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao",https://m.media-amazon.com/images/M/MV5BMTVmZDNjMGEtNzc5MC00ODY4LWI1ZTYtMjM2ODhhNGExNzgxXkEyXkFqcGc@._V1_.jpg,6.7,30861
12,tt3741834,Lion,2016,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",https://m.media-amazon.com/images/M/MV5BMjA3NjkzNjg2MF5BMl5BanBnXkFtZTgwMDkyMzgzMDI@._V1_.jpg,8,251458
13,tt13131610,Bholaa Shankar,2023,"Action, Drama",A doting brother tries to hunt down notorious criminals who had harmed his sister.,Meher Ramesh,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu",https://m.media-amazon.com/images/M/MV5BYzNjMGYzMmEtYTkzYS00MGE3LThkMTEtYTM2MjM0ZTdjZmYxXkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_.jpg,3.3,2092
14,tt22188452,Haddi,2023,"Crime, Drama","In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?",Akshat Ajay Sharma,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Resh Lamba",https://m.media-amazon.com/images/M/MV5BYWQ2YjAyMWQtNTRkZS00MzAxLWI4ZTMtNzk1ZDVlMDczNjFkXkEyXkFqcGc@._V1_.jpg,5.5,5041
15,tt28568397,Friday Night Plan,2023,"Comedy, Drama","When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.",Vatsal Neelakantan,"Babil Khan, Amrith Jayan, Medha Rana, Aadhya Anand",https://m.media-amazon.com/images/M/MV5BN2FlMzA3MjktNjA2Zi00YzUyLWIxYTUtNGQ0MTc0NDA3NTcwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,6.5,1920
16,tt21908676,Neeyat,2023,"Crime, Mystery, Thriller","When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends.",Anu Menon,"Vidya Balan, Ram Kapoor, Rahul Bose, Neeraj Kabi",https://m.media-amazon.com/images/M/MV5BZTNiZTIxZGUtMjZiNC00NzJjLTlhMDItMDA3YzUwMjUwMDBhXkEyXkFqcGc@._V1_.jpg,5.3,4819
17,tt15441054,Gadar 2,2023,"Action, Adventure, Drama","When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.",Anil Sharma,"Sunny Deol, Amrish Puri, Nana Patekar, Ameesha Patel",https://m.media-amazon.com/images/M/MV5BNzcwNTEwYzgtZmUxYy00MTRlLThlNTUtMjQ0MTdlZWQyZTNjXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_.jpg,5.1,22298
18,tt27542289,Por Thozhil,2023,"Action, Crime, Thriller",A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.,"Vignesh Raja, T. Senthil Paramasivam","R. Sarathkumar, Ashok Selvan, Nikhila Vimal, Sarath Babu",https://m.media-amazon.com/images/M/MV5BNjc1MDA2ZTgtYzkyMC00ZTcwLWEwNmUtYjM1MmZhYTc3YzgzXkEyXkFqcGc@._V1_.jpg,8,11369
19,tt0454876,Life of Pi,2012,"Adventure, Drama, Fantasy","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu",https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_.jpg,7.9,667513
20,tt0249371,Asoka,2001,"Action, Biography, Drama",The epic tale of King Asoka's life is recounted.,Santosh Sivan,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt",https://m.media-amazon.com/images/M/MV5BNjk3OTZmYWUtMDYwMy00Y2ZmLWEzMDYtOTg3YjQzNDNkM2E1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,6.4,15534
21,tt0838221,The Darjeeling Limited,2007,"Adventure, Comedy, Drama","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.",Wes Anderson,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan",https://m.media-amazon.com/images/M/MV5BMTM0MTQ4MTgwOF5BMl5BanBnXkFtZTcwMDA3MDU1MQ@@._V1_.jpg,7.2,217143
